filename,case_name,citation,decision_date,year,court,court_level,opinion_type,author,status,overruled_by,topic,notes,,,
ibarra_v_westbrook_college_of_law_majority_1989.txt,Ibarra v. Westbrook College of Law,891 F.2d 233 (9th Cir. 1989),15-08-1989,1989,United States Court of Appeals for the Ninth Circuit,circuit,majority,Judge Corinne Whitlark,superseded,reyes_v_trustees_of_ashworth_university_majority_2003.txt,Application of Narrow Tailoring Test,Applies the Calloway test to uphold a holistic admissions program; later cited approvingly in Reyes.,,,
nakamura_v_calloway_state_college_majority_1991.txt,Nakamura v. Calloway State College,779 F. Supp. 2d 1042 (D. Fentress 1991),11-02-1991,1991,United States District Court for the District of Fentress,district,majority,Judge Owen Pryce,superseded,voss_v_milford_university_majority_2003.txt,Point-Bonus Systems,Upholds a fixed point-bonus system for admissions; later effectively abrogated by Voss's rejection of mechanical bonus schemes.,,,
prentiss_v_trent_institute_of_technology_majority_1994.txt,Prentiss v. Trent Institute of Technology,29 F.3d 771 (5th Cir. 1994),08-07-1994,1994,United States Court of Appeals for the Fifth Circuit,circuit,majority,Judge Foster Langtry,overruled,reyes_v_trustees_of_ashworth_university_majority_2003.txt,Rejection of Diversity Rationale,Rejects the diversity rationale entirely and holds race may never be considered in admissions; creates circuit split resolved by Reyes.,,,
nakamura_v_westbrook_college_of_law_majority_1997.txt,Nakamura v. Westbrook College of Law,121 F.3d 355 (6th Cir. 1997),20-05-1997,1997,United States Court of Appeals for the Sixth Circuit,circuit,majority,Judge Selena Marchetti,superseded,reyes_v_trustees_of_ashworth_university_majority_2003.txt,Circuit Split on Diversity Rationale,Sides with Prentiss against Ibarra and Delgado's progeny, deepening the circuit split that leads to certiorari in Reyes.,,
doj_guidance_1994.txt,U.S. Department of Justice Guidance on the Circuit Split Over Race-Conscious Admissions,DOJ Guidance 94-2,05-10-1994,1994,U.S. Department of Justice,agency,guidance,Office of Legal Counsel,superseded,doe_doj_joint_guidance_2004.txt,Implementation Guidance,Federal guidance acknowledging the Prentiss/Ibarra circuit split and urging institutions toward holistic review pending Supreme Court resolution.,,,
reyes_v_trustees_of_ashworth_university_majority_2003.txt,Reyes v. Trustees of Ashworth University,539 U.S. 306 (2003),23-06-2003,2003,Supreme Court of the United States,scotus,majority,Chief Justice Priya Sundaram,overruled,harmon_v_ashworth_university_majority_2023.txt,Individualized Holistic Review Standard,Resolves the circuit split, reaffirms diversity as a compelling interest, and adopts the individualized holistic review and critical-mass framework; disapproves Prentiss.,
reyes_v_trustees_of_ashworth_university_concurrence_2003.txt,Reyes v. Trustees of Ashworth University,539 U.S. 306 (2003),23-06-2003,2003,Supreme Court of the United States,scotus,concurrence,Justice Thaddeus Okonkwo-Lindqvist,overruled,harmon_v_ashworth_university_majority_2023.txt,Sunset Expectation for Race-Conscious Review,Concurrence expressing expectation that race-conscious admissions will no longer be necessary within a generation.,,,
reyes_v_trustees_of_ashworth_university_dissent_2003.txt,Reyes v. Trustees of Ashworth University,539 U.S. 306 (2003),23-06-2003,2003,Supreme Court of the United States,scotus,dissent,Justice Grant Halvorsen,active,,Strict Scrutiny - Colorblind Constitution,Dissent arguing the majority's critical-mass concept is an unworkable quota in disguise.,,,
voss_v_milford_university_majority_2003.txt,Voss v. Milford University,539 U.S. 344 (2003),23-06-2003,2003,Supreme Court of the United States,scotus,majority,Chief Justice Priya Sundaram,overruled,harmon_v_ashworth_university_majority_2023.txt,Mechanical Point Systems,Companion case to Reyes holding that mechanical point-bonus admissions systems are not narrowly tailored because they fail to provide individualized review.,,,
voss_v_milford_university_dissent_2003.txt,Voss v. Milford University,539 U.S. 344 (2003),23-06-2003,2003,Supreme Court of the United States,scotus,dissent,Justice Grant Halvorsen,active,,Mechanical Point Systems,Dissent arguing a transparent point system is more defensible than an opaque holistic process.,,,
delacroix_v_brennan_city_university_majority_2005.txt,Delacroix v. Brennan City University,398 F.3d 611 (6th Cir. 2005),11-03-2005,2005,United States Court of Appeals for the Sixth Circuit,circuit,majority,Judge Selena Marchetti,superseded,ferreira_v_ashworth_university_majority_2015.txt,Application of Reyes/Voss Standard,Applies Reyes and Voss to uphold a holistic file-review program that documents individualized consideration.,,,
whitcombe_v_harwick_college_majority_2007.txt,Whitcombe v. Harwick College,481 F.3d 950 (8th Cir. 2007),30-11-2007,2007,United States Court of Appeals for the Eighth Circuit,circuit,majority,Judge Desmond Achterberg,superseded,ferreira_v_ashworth_university_majority_2015.txt,Insufficient Individualization,Strikes down a program for insufficiently individualized review, distinguishing Delacroix on the adequacy of file-by-file documentation.,,
park_v_trent_institute_of_technology_majority_2009.txt,Park v. Trent Institute of Technology,662 F. Supp. 2d 488 (D. Fentress 2009),27-01-2009,2009,United States District Court for the District of Fentress,district,majority,Judge Owen Pryce,superseded,ferreira_v_ashworth_university_majority_2015.txt,Critical Mass Standard,Applies the Reyes critical-mass concept, upholding an admissions program that relies on periodic institutional review.,,
doe_doj_joint_guidance_2004.txt,Joint Guidance of the Departments of Education and Justice on Race-Conscious Admissions After Reyes and Voss,DOE-DOJ Joint Guidance 2004-01,01-04-2004,2004,U.S. Department of Education and U.S. Department of Justice,agency,guidance,Office of the General Counsel,superseded,doj_doe_joint_guidance_2023.txt,Implementation Guidance,Explains the individualized holistic review standard and the prohibition on mechanical point systems for institutions nationwide.,,,
ocr_guidance_2008.txt,Office for Civil Rights Guidance on the Critical Mass Standard,OCR Memo 08-11,15-09-2008,2008,Office for Civil Rights (U.S. Department of Education),agency,guidance,Assistant Secretary for Civil Rights,superseded,ocr_guidance_2016.txt,Critical Mass Standard,Elaborates on documentation practices institutions should use to demonstrate individualized, non-quota review of race.,,
doj_guidance_2011.txt,U.S. Department of Justice Guidance Rescinding Superseded Admissions Guidance,DOJ Guidance 2011-4,30-06-2011,2011,U.S. Department of Justice,agency,guidance,Office of Legal Counsel,superseded,doj_doe_joint_guidance_2023.txt,Implementation Guidance,Formally rescinds the 1979 and 1994 guidance documents as superseded by Reyes, Voss, and the 2004 Joint Guidance.,
ferreira_v_ashworth_university_majority_2015.txt,Ferreira v. Ashworth University,779 F.3d 240 (2d Cir. 2015),09-04-2015,2015,United States Court of Appeals for the Second Circuit,circuit,majority,Judge Aline Ferreira-Boudreaux,overruled,harmon_v_ashworth_university_majority_2023.txt,Workability of Race-Neutral Alternatives,Narrows Reyes by requiring institutions to make a rigorous, evidence-based showing that race-neutral alternatives are unworkable before using race-conscious review.,,
castellano_v_ashworth_university_majority_2017.txt,Castellano v. Ashworth University,872 F.3d 1188 (10th Cir. 2017),02-06-2017,2017,United States Court of Appeals for the Tenth Circuit,circuit,majority,Judge Marcus Castellane,overruled,harmon_v_ashworth_university_majority_2023.txt,Workability of Race-Neutral Alternatives,Applies the Ferreira workability requirement and upholds a program supported by a detailed record of failed race-neutral pilot programs.,,,
odom_v_milford_university_majority_2019.txt,Odom v. Milford University,404 F. Supp. 3d 812 (D. Fentress 2019),22-08-2019,2019,United States District Court for the District of Fentress,district,majority,Judge Priyanka Deshmukh,overruled,harmon_v_ashworth_university_majority_2023.txt,Essay-Based Proxy Consideration,Limits use of race-referencing personal-statement essays as a proxy where the institution cannot show individualized, non-mechanical evaluation.,,
ocr_guidance_2016.txt,Office for Civil Rights Guidance Reaffirming the Critical Mass Framework,OCR Memo 16-09,18-02-2016,2016,Office for Civil Rights (U.S. Department of Education),agency,guidance,Assistant Secretary for Civil Rights,superseded,doj_doe_joint_guidance_2023.txt,Critical Mass Standard,Reaffirms and updates the 2008 critical-mass guidance in light of Ferreira's workability requirement.,,,
harmon_v_ashworth_university_majority_2023.txt,Harmon v. Board of Trustees of Ashworth University,601 U.S. 118 (2023),29-06-2023,2023,Supreme Court of the United States,scotus,majority,Chief Justice Rosalind Delacombe,active,,Overruling of Diversity Rationale,Overrules Whitfield, Calloway, Reyes, and Voss; holds race-conscious admissions programs violate the Equal Protection Clause and adopts a formal-equality colorblind standard.
harmon_v_ashworth_university_concurrence_2023.txt,Harmon v. Board of Trustees of Ashworth University,601 U.S. 118 (2023),29-06-2023,2023,Supreme Court of the United States,scotus,concurrence,Justice Marcus Castellane,active,,Military Academy Carve-Out,Concurrence addressing whether a narrow exception for service-academy admissions survives the majority's reasoning.,,,
harmon_v_ashworth_university_dissent_2023.txt,Harmon v. Board of Trustees of Ashworth University,601 U.S. 118 (2023),29-06-2023,2023,Supreme Court of the United States,scotus,dissent,Justice Thaddeus Okonkwo-Lindqvist,active,,Overruling of Diversity Rationale,Dissent arguing the majority departs from fifty years of precedent and understates the practical case for diversity as a compelling interest.,,,
harmon_ii_v_trustees_of_milford_university_majority_2023.txt,Harmon v. Board of Trustees of Milford University,601 U.S. 155 (2023),29-06-2023,2023,Supreme Court of the United States,scotus,majority,Chief Justice Rosalind Delacombe,active,,Overruling of Diversity Rationale,Companion case extending Harmon's holding to private universities receiving federal funds under Title VI.,,,
harmon_ii_v_trustees_of_milford_university_dissent_2023.txt,Harmon v. Board of Trustees of Milford University,601 U.S. 155 (2023),29-06-2023,2023,Supreme Court of the United States,scotus,dissent,Justice Thaddeus Okonkwo-Lindqvist,active,,Overruling of Diversity Rationale,Companion dissent incorporating the Harmon dissent's reasoning as applied to private institutions under Title VI.,,,
doj_doe_joint_guidance_2023.txt,Joint Guidance of the Departments of Justice and Education on Admissions After Harmon,DOJ-DOE Joint Guidance 2023-02,14-08-2023,2023,U.S. Department of Justice and U.S. Department of Education,agency,guidance,Office of the General Counsel,active,,Implementation Guidance,Rescinds all prior race-conscious admissions guidance and states that applicant essays may discuss how race affected the applicant's life, but institutions may not consider race itself as a factor.,,
ocr_guidance_2024_faq.txt,Office for Civil Rights Frequently Asked Questions on Admissions Practices After Harmon,OCR FAQ 2024-01,30-01-2024,2024,Office for Civil Rights (U.S. Department of Education),agency,guidance,Assistant Secretary for Civil Rights,active,,Implementation Guidance,FAQ addressing financial aid, targeted recruitment, and essay-reading practices in light of Harmon and the 2023 Joint Guidance.,
nguyen_v_trent_institute_of_technology_majority_2024.txt,Nguyen v. Trent Institute of Technology,98 F.4th 214 (4th Cir. 2024),06-05-2024,2024,United States Court of Appeals for the Fourth Circuit,circuit,majority,Judge Foster Langtry Jr.,active,,Essay-Based Proxy Consideration,Applies Harmon strictly to strike down an essay-scoring rubric that awarded extra weight to essays referencing racial identity.,,,
delacroix_v_westbrook_college_of_law_majority_2024.txt,Delacroix v. Westbrook College of Law,101 F.4th 782 (9th Cir. 2024),12-09-2024,2024,United States Court of Appeals for the Ninth Circuit,circuit,majority,Judge Corinne Whitlark,active,,Essay-Based Proxy Consideration,Reads Harmon more narrowly, upholding case-by-case essay consideration of race-related adversity narratives and creating a new post-Harmon circuit split.,,
park_v_calloway_state_college_majority_2025.txt,Park v. Calloway State College,712 F. Supp. 3d 90 (D. Fentress 2025),19-02-2025,2025,United States District Court for the District of Fentress,district,majority,Judge Priyanka Deshmukh,active,,Race-Neutral Alternatives,Upholds a socioeconomic-status-based admissions model as a valid race-neutral alternative consistent with Harmon.,,,
ibarra_v_ashworth_university_majority_2025.txt,Ibarra v. Ashworth University,730 F. Supp. 3d 501 (D. Fentress 2025),08-07-2025,2025,United States District Court for the District of Fentress,district,majority,Judge Owen Pryce,active,,Legacy Admissions as Race Proxy,Novel post-Harmon challenge alleging legacy and donor preferences function as an unlawful proxy for race; issue left unresolved on appeal.,,,
doe_guidance_2025.txt,U.S. Department of Education Guidance on Legacy and Donor Admissions Preferences,DOE Guidance 2025-03,04-11-2025,2025,U.S. Department of Education,agency,guidance,Office of the General Counsel,active,,Legacy Admissions as Race Proxy,Non-binding guidance encouraging institutions to evaluate whether legacy preferences perpetuate historical racial exclusion; does not resolve Ibarra's legal question.,,,
castellano_v_trent_institute_of_technology_majority_2026.txt,Castellano v. Trent Institute of Technology,110 F.4th 305 (5th Cir. 2026),17-03-2026,2026,United States Court of Appeals for the Fifth Circuit,circuit,majority,Judge Marcus Castellane,active,,Graduate Admissions Scope,Holds Harmon applies with equal force to graduate and professional school admissions, deepening the split with Delacroix's Ninth Circuit approach on essay practices.,,
odom_v_harwick_college_majority_2026.txt,Odom v. Harwick College,745 F. Supp. 3d 233 (D. Fentress 2026),29-05-2026,2026,United States District Court for the District of Fentress,district,majority,Judge Priyanka Deshmukh,active,,Race-Neutral Alternatives,Upholds use of geographic and first-generation-status proxies as permissible race-neutral criteria under Harmon.,,,
ocr_guidance_2026_faq_update.txt,Office for Civil Rights Updated Frequently Asked Questions on Post-Harmon Admissions Practices,OCR FAQ 2026-02,21-07-2026,2026,Office for Civil Rights (U.S. Department of Education),agency,guidance,Assistant Secretary for Civil Rights,active,,Implementation Guidance,Most recent guidance in the corpus; acknowledges the unresolved Fourth/Ninth Circuit essay-practice split and declines to adopt a nationwide rule pending further Supreme Court review.,,,
